mile,grade,gain_ft,loss_ft,pace,arrival_mdt,elapsed
1,+1.3%,130,-62,8:04,7:08 AM,0:08
2,+6.4%,336,0,9:31,7:18 AM,0:18
3,-2.3%,33,-154,6:53,7:24 AM,0:24
4,-0.9%,39,-88,7:01,7:31 AM,0:31
5,-0.3%,59,-76,7:52,7:39 AM,0:39
6,-0.8%,43,-85,7:06,7:46 AM,0:46
7,-3.7%,17,-211,6:33,7:53 AM,0:53
8,-0.6%,116,-147,7:08,8:01 AM,1:01
9,+2.6%,197,-59,8:17,8:09 AM,1:09
10,-5.2%,29,-304,6:53,8:16 AM,1:16
11,-5.7%,10,-312,6:10,8:22 AM,1:22
12,-3.7%,72,-266,7:14,8:30 AM,1:30
13,-1.5%,75,-154,7:10,8:37 AM,1:37
14,+3.6%,247,-59,8:45,8:46 AM,1:46
15,+4.5%,279,-39,8:15,8:54 AM,1:54
16,+5.0%,287,-24,9:05,9:03 AM,2:03
17,+3.8%,219,-16,8:44,9:13 AM,2:13
18,-0.9%,59,-108,7:29,9:20 AM,2:20
19,-2.3%,114,-233,7:24,9:28 AM,2:28
20,-2.0%,23,-127,6:44,9:34 AM,2:34
21,-0.1%,39,-46,7:18,9:42 AM,2:42
22,+5.1%,272,-3,9:07,9:52 AM,2:52
23,+1.6%,98,-16,7:27,9:59 AM,2:59
24,-2.2%,10,-125,6:48,10:06 AM,3:06
25,-3.1%,28,-190,6:39,10:13 AM,3:13
26,+1.5%,106,-33,7:41,10:20 AM,3:20
